burnham park|-74.4966539 40.798698
serenity baptist church|-74.1691507 40.9285505
bee meadow pool|-74.4129193 40.8357664
juan pablo duarte plaza|-74.1667818 40.9149956
paterson post office|-74.1667824 40.9141732
church of god|-74.163799 40.9149439
edward w kilpatrick school of discovery|-74.1639506 40.9175114
first african methodist episcopal zion church|-74.1632521 40.9171072
saint anthonys roman catholic church|-74.1648711 40.909766
saint stephens roman catholic church|-74.1603227 40.908775
roberto clemente park|-74.1619639 40.9123172
saint athanasios greek orthodox church|-74.1604362 40.9127513
saint josephs roman catholic church|-74.1618149 40.9140875
church of the holy communion|-74.161696 40.9163671
danforth memorial public library|-74.1642513 40.9184286
paterson community health center|-74.1651211 40.9189772
new shiloh missionary baptist church|-74.1661851 40.9190478
first church of christ scientist|-74.1646741 40.9196344
central reformed church|-74.1654593 40.920579
community baptist church|-74.1646151 40.9221325
saint augustine presbyterian church|-74.1625112 40.9223734
second baptist church|-74.1619592 40.9216218
whippany station historic|-74.412537 40.82293
solid rock baptist church|-74.1678926 40.9062604
hospital plaza|-74.1644428 40.9041815
depaul ambulatory care center|-74.1652823 40.9055026
saint agnes roman catholic church|-74.1669663 40.9031763
iglesia de dios pentecostal|-74.1675487 40.9024089
main  hine street triangle|-74.1663792 40.9017339
saint joseph hospital harbor house|-74.1676402 40.9037222
grancho|-74.1700628 40.9070709
mi kausita|-74.1699395 40.9069977
congregation of yahweh|-74.1700659 40.9058584
kg petroleum|-74.1699119 40.9053165
hogar infantile child development center|-74.1702687 40.9064061
promar precision engines|-74.1679978 40.9066949
popeyes auto glass|-74.166935 40.9056986
westminster presbyterian church|-74.1679211 40.9053003
lopez deli  grocery|-74.1670017 40.9037061
tacuballa|-74.1689262 40.9049353
abuelito cheese|-74.1690195 40.9051663
savco restaurant equipment|-74.1697172 40.9050584
body worx hardcore gym|-74.1697821 40.9042274
los primos bar  liquor|-74.16905 40.9023935
century pizzeria|-74.167605 40.9030092
c town supermarket|-74.1674839 40.902824
health care pharmacy|-74.1662998 40.9012958
willowbrook nj   macys furniture lot|-74.2587531 40.8926031
montclair art museum|-74.2242367 40.81858
whole foods market|-74.2228714 40.8185416
montclair police department|-74.2209666 40.8169252
toast|-74.2231726 40.8179074
thai chef|-74.2221452 40.8171645
delta|-74.2214609 40.817229
ferraras auto body|-74.2222754 40.8167193
the office beer bar  grill|-74.2203934 40.8164526
lets yo yogurt|-74.2210559 40.8158923
bluff city bbq|-74.2193465 40.8166754
union baptist church|-74.2197791 40.8168378
delta dental of new jersey|-74.4573514 40.83967
the sopranos house|-74.2452878 40.8680392
cvs pharmacy  photo|-74.3596904 41.2584148
warwick gas  food|-74.3569787 41.2601267
warwick reformed church|-74.3562753 41.2608571
liberty green|-74.3663965 41.2635458
liberty green|-74.3663045 41.2627336
liberty green|-74.3670582 41.2624419
dunkin donuts|-74.3581158 41.2590931
trattoria viviano|-74.3575963 41.2589703
warwick village hall|-74.3584443 41.2585667
td bank|-74.3592686 41.2576823
newhards|-74.359672 41.2573201
akins pharmacy|-74.3597874 41.2571474
chase|-74.359634 41.256747
albert wisner buckbee center  warwick historical society|-74.357179 41.2594875
us post office|-74.357204 41.259132
key bank|-74.3576173 41.2599115
historical society of warwick|-74.3576973 41.2594949
pecks wine and spirits|-74.3591268 41.2567378
burger king|-74.36061 41.2555691
waldwick public library|-74.1176533 41.0110962
waldwick administration building|-74.1192766 41.0120147
waldwick public safety complex|-74.1183252 41.0112754
united states post office|-74.1207551 41.0097184
speedway gas|-74.1465893 40.9746957
hawthorne chevrolet|-74.1503437 40.9710579
dunkin|-74.153218 40.9678362
garage b|-74.0779669 40.9165457
walmart|-74.4040861 40.9071767
mcdonalds|-74.3960101 40.9087251
dalessio chevrolet buick|-74.3944779 40.9095943
boonton express car wash|-74.4000742 40.9063912
mersen usa|-74.4000543 40.9069164
wells fargo|-74.4019294 40.9074582
matta donna|-74.4024285 40.9061809
liquor outlet wine cellars|-74.402519 40.9056467
marlo manufacturing company|-74.4049791 40.9055268
boonton station|-74.4063114 40.9039532
sazon latino|-74.4075162 40.9030018
wasabi bistro|-74.4068032 40.9035823
novatis|-74.4700075 40.8153822
jpmorgan chase|-74.4386452 40.8147767
barclays|-74.4396263 40.8140178
lot d|-74.180351 41.0795263
lot c|-74.1793313 41.0799534
lot c|-74.1791389 41.0794062
lot c|-74.178804 41.0788269
lot b|-74.1776613 41.0792181
lot b|-74.1782284 41.0797239
lot b|-74.1786445 41.0801704
wegmans|-74.437196 40.8382258
ups parnj|-74.4191346 40.844606
wegmans|-74.0594817 41.0499586
tuxedo park and ride|-74.1845681 41.2295689
extra space storage|-74.3631102 40.914358
ruthies bar b q and pizza|-74.2097409 40.8210288
van vleck house and gardens|-74.2221334 40.8236549
zeus complete automotive services|-74.2057574 40.8308629
sunset park|-74.2005956 40.8459303
keils pharmacy|-74.2040676 40.8488794
learning express|-74.2082183 40.8409263
brookdale dog park|-74.192647 40.8330101
interfaith food pantry|-74.4967353 40.8311996
morris county nonprofit mall|-74.4983443 40.8317221
willowbrook nj   marquee lot|-74.260685 40.8924315
xo private functions  social lounge|-74.2634734 40.8920455
warwick valley high school  middle school|-74.3865886 41.2529541
eb design air inc|-74.1623188 41.1281286
trinity evangelical free church|-74.0128815 40.8737157
allendale town center|-74.1282455 41.0289716
comfort inn  suites|-74.1560922 41.0931137
montville community park amphitheater|-74.3600897 40.8957017
robert r lazer middle school|-74.3660549 40.8966709
sgs north america inc|-74.2841796 40.8666825
command nutritionals|-74.2828129 40.8700133
vapon inc|-74.2826917 40.8677666
mvn logistics corp|-74.2819851 40.8689347
sgs life science service|-74.2807849 40.8700785
ferguson bath kitchen  lighting gallery|-74.281145 40.8694035
west essex graphics|-74.282162 40.8682444
allegro school|-74.4501995 40.8188816
church of saint anastasia|-74.0017059 40.8912147
cheesecote mountain town park|-74.0407434 41.2126544
union baptist church|-74.4795861 40.8005541
veterans memorial park|-74.0332946 40.9907011
saint pauls episcopal church|-74.483127 40.8251929
simons park|-74.484149 40.8240949
sterling national|-74.3603561 41.2540311
drive thru bank|-74.3606804 41.2537525
pennings|-74.3832188 41.2355616
chateau hathorn|-74.371818 41.2437399
nursery|-74.3596848 41.2494181
offices|-74.3641313 41.2527232
bellvale creamery|-74.2892655 41.2446868
morris plains presbyterian church|-74.4812586 40.8240884
saint virgils parochial school|-74.4823875 40.820978
morris plains borough school|-74.4816489 40.8255936
acme|-74.4797459 40.822318
rub a dub|-74.4809135 40.8223512
kinnelon high school|-74.3765678 40.9965703
kinnelon high school|-74.3763807 40.9958618
south end elementary school|-74.2325997 40.8401451
wrigley park|-74.159833 40.9244578
elementary school|-74.1822147 40.919312
john f kennedy educational complex|-74.1874053 40.9146134
pennington park|-74.1925396 40.9107907
eastside high school|-74.1600015 40.9143514
dale avenue elementary school|-74.1684001 40.9137636
elementary school|-74.1640259 40.9142061
international high school|-74.1793749 40.9095744
don bosco technical school|-74.1919054 40.9158226
paterson academy for the gifted and talented|-74.1726649 40.9235695
dr frank napier jr school of science  technology|-74.1732693 40.9244138
dairy queen|-74.0141009 40.8706739
elk pen car parking|-74.154159 41.2648405
hilton pearl river|-74.0015598 41.0483968
edith a bogert elementary school|-74.0998537 41.0631252
spring valley high school|-74.0561199 41.1062784
rand park|-74.2116151 40.8222211
rand park|-74.2114161 40.8206838
glen ridge tennis|-74.2120486 40.8023366
the glen|-74.2055745 40.8019245
the glen|-74.2031728 40.7997359
booth park|-74.1617295 40.8125927
ramapo high school|-74.1919947 40.9969554
wayne hills high school|-74.2373772 40.9683116
anthony wayne middle school|-74.2107632 40.9409597
hanover park high school|-74.3747529 40.8043619
knoll west|-74.3843468 40.8966193
the home depot|-74.3216677 40.8602065
cvs|-74.2488381 40.8027294
mayfair farms|-74.2501833 40.8054054
applegate farms creamery|-74.1949119 40.8473144
tanya freeman of weiner lesniak llp|-74.423498 40.846979
mount peter hawk watch trailway|-74.2874418 41.2454571
medical offices|-74.2380184 41.0247972
timber ridge|-74.3249276 40.9835974
park view|-74.3255256 40.9830362
walden place|-74.3257213 40.9819611
forest glen|-74.3253725 40.9810846
woodland commons|-74.3247443 40.9821516
arbor view|-74.3237539 40.9816661
greenleaf court|-74.3235888 40.9823858
village square|-74.3255072 40.9842931
mill creek|-74.3265742 40.9847142
hampton place|-74.3267001 40.9852604
madison green|-74.3278011 40.9849841
belmont clubhouse|-74.3285929 40.9853394
ridgley court|-74.3293704 40.9851899
hillside crossing|-74.3300804 40.9848922
valley view|-74.3286062 40.9862073
renaissance gardens|-74.3301301 40.9866855
maple grange park|-74.4858109 41.2199446
vernon township high school|-74.4892588 41.2461248
bioreference labs   elmwood|-74.1088477 40.9001666
home  suites by hilton|-74.0658421 40.8629078
hilton hasbrouck heights   meadowlands|-74.0619121 40.8715126
holiday inn express paramus|-74.0704998 40.9237274
adp|-74.4263234 40.8730481
bayer|-74.4239758 40.8727201
park office|-74.397713 41.1980817
boat house|-74.4257886 41.1881796
bath rooms|-74.4269769 41.1883823
bath rooms  utility|-74.429627 41.1901449
utility|-74.3982807 41.1986556
residence b|-74.2556145 41.1571377
residence d|-74.2573257 41.1567177
maintenance|-74.2542514 41.1579514
visitor parking|-74.2535912 41.1590145
sterling recycling|-74.2049042 41.1545821
paramus inspection station|-74.0733308 40.9290156
paramus corporate center|-74.0717743 40.927264
glen rock gurudwara|-74.1115028 40.9644907
windsor preparatory high school|-74.0766335 40.952182
montclair fire dept|-74.2255887 40.80017
brookside racquet and swim club|-74.1506578 41.0279664
lot a|-74.1765661 41.0795723
lot a|-74.1777345 41.0805098
lot b|-74.1773101 41.0789121
lot a|-74.1772971 41.0800382
lot c|-74.1785865 41.0784748
lot a|-74.1763341 41.0792364
franklin lakes borough mayor|-74.1984122 41.0194406
franklin lakes public library|-74.198288 41.0187348
franklin avenue middle school|-74.2038716 41.0207677
franklin lakes fire headquarters|-74.201613 41.0202878
franklin lakes volunteer ambulance|-74.2006973 41.0199763
upper saddle river fire department|-74.0987197 41.0614515
church of the presenation|-74.1021327 41.0508817
saddle river city court clerk|-74.0957709 41.0305288
lincoln avenue elementary school|-74.0300473 41.0628442
margo plumbing heating  cooling|-74.2321385 40.875289
king kone|-74.0123315 41.0649511
miele auto parts|-74.0123061 41.0645143
dr padre|-74.0120546 41.0665734
verizon|-74.0130691 41.0668628
eleven|-74.0129882 41.0662462
retro fitness|-74.0119765 41.0632227
hair cuttery|-74.012134 41.0634203
luigi ogradys|-74.0120831 41.0635261
dollar general|-74.0119921 41.0638105
dunkin donuts|-74.012076 41.0636268
cvs pharmacy|-74.0133942 41.060539
shoprite|-74.0116524 41.0607788
shoprite liquors|-74.011757 41.0615645
laundromat|-74.0118555 41.0617078
sorrentos|-74.0118643 41.0617613
tai kwon doe|-74.0118719 41.0618151
zimis bagels and deli|-74.0125267 41.0611646
hour photo|-74.012508 41.061065
hyatt house|-74.4107173 40.8582261
baldwin plaza|-74.3961784 40.864658
parsippany police athletic league|-74.3976212 40.8618716
pep boys|-74.3988612 40.8634049
starbucks|-74.3979696 40.8635235
careone at morris assisted living|-74.4026058 40.8598781
careone at morris|-74.4013636 40.8600955
taco bell|-74.4022508 40.864777
hogwash car wash|-74.4030367 40.8650707
buffalo wild wings|-74.4014341 40.864739
hot breads|-74.4015536 40.8637118
saint peter the apostle|-74.3941721 40.8644347
canfield scientific|-74.4177588 40.8596764
earthcolor|-74.4201355 40.8561107
saint ann church|-74.4063162 40.8476627
statewide striping|-74.4161584 40.861686
iqvia|-74.409097 40.8637677
panera bread|-74.3895224 40.8628124
all saints academy|-74.3929609 40.8661619
baldwin oaks|-74.3931455 40.8676753
parsippany fuel oil company|-74.4028016 40.8607156
sunoco|-74.4154336 40.8686578
bp|-74.4145912 40.8682738
tiger mart|-74.4156332 40.8684359
dunkin|-74.4144166 40.8680785
army turf field|-74.4121653 40.8657345
navy bandstand field|-74.4104973 40.8656001
restoration hardware outlet|-74.0703854 40.9432491
courtyard by marriott paramus|-74.0705737 40.9422321
lenscrafters|-74.0711008 40.9439394
pc richard  son|-74.0721762 40.9424613
jaguar  land rover of paramus|-74.0730926 40.9489289
lamborghini paramus|-74.0729465 40.9481771
paramus chevrolet|-74.0699043 40.9339686
raymour  flanigan|-74.0699393 40.9345268
comfort inn  suites paramus|-74.0717847 40.9355245
davidson plumbing supply|-74.0713965 40.9347579
the diamond exhange|-74.0702127 40.9327808
pga tour superstore|-74.0728953 40.9395935
temple israel  jewish center|-74.1080882 40.9680327
glen rock municipal pool|-74.1304458 40.9690878
sports domain academy|-74.2104473 40.8175544
passaic high school|-74.127383 40.8566086
passaic public library|-74.127786 40.8573325
exxon|-74.4206184 40.8704656
on the run|-74.4207093 40.8702438
brooklawn middle school|-74.4498782 40.8577748
parsippany troy hills public library|-74.4528279 40.8528835
lake parsippany elementary school|-74.4401298 40.8603486
heroes journey fitness|-74.4268173 40.8451153
park and ride|-74.3836325 40.8623034
ave clifton|-74.1452902 40.8361835
north bergen high school|-74.0143881 40.8016242
walwick museum of local history|-74.1230853 41.0121415
traffic circle tiorati|-74.08795 41.2755563
clove furnace historic site|-74.1493589 41.2737962
camp k clubhouse|-74.132779 41.2299389
camp k beachhouse|-74.1316152 41.2307011
walmart supercenter|-74.0134974 40.8141182
high tech high school|-74.0148297 40.8104976
high tech high school   apc|-74.0173342 40.8120197
high tech high school   field house|-74.0170524 40.8116543
horace mann number  elementary school|-74.011156 40.806527
congregation khal torath chaim|-74.0667641 41.1187205
yeshiva|-74.0680888 41.1164489
boston market|-74.1729058 40.8540866
rite aid|-74.1736061 40.8536037
allwood diner|-74.1724625 40.8515647
warren point annex field|-74.1060903 40.9222194
sheri adler memorial playground|-74.1061746 40.9228369
gregory park|-74.1095018 40.9296663
cedar hill elementary school|-74.3414131 40.9159461
walmart supercenter|-74.0626183 40.8625988
costco|-74.0644515 40.8607373
lindenmeyr munroe|-74.065685 40.8591634
white castle|-74.0013084 40.8099953
macalusos|-74.1543481 40.9587287
green acres park|-74.1903377 40.8026004
sunset park|-74.1156645 40.8382862
pccc enrollment services building|-74.1690342 40.916195
pccc community technology center|-74.1687694 40.9163059
van winkle park|-74.1210624 40.8277165
lincoln woods|-74.1191448 40.8268415
nereid boat club|-74.1205813 40.8298354
rutherford waterfront park|-74.1204906 40.8300291
howland memorial grove|-74.0593285 40.9247836
parking lot p|-74.0496581 40.9313229
main street park|-74.1391807 40.9544724
harte park|-74.0006574 40.8757096
baldwin park|-74.0438425 40.8995646
hebron fields|-74.2032277 40.8397964
ts ma|-74.2057731 40.8410676
cvs lot|-74.2072308 40.8392562
fairmount park|-74.0406724 40.9002387
lacordaire academy|-74.2011906 40.8420753
archery field|-74.1911388 40.8371919
brookdale park rose garden|-74.1930504 40.8345521
brookdale playground|-74.190301 40.8340176
union congregational church|-74.2040727 40.8386151
montclair public library|-74.2045678 40.8407455
carlstadt little league|-74.084709 40.8384621
studio playhouse|-74.2079785 40.8365509
acme|-74.2077701 40.8371492
noble east|-74.2075649 40.8365365
staib park|-74.0472436 40.9123547
anderson park|-74.0418356 40.8923524
mezoco mexican taqueria|-74.209801 40.8172847
egan  son|-74.2115237 40.8177516
lacordaire academy|-74.2010735 40.8421206
st cassians roman catholic church|-74.2048994 40.8408543
green garden park|-74.2065961 40.8374511
watchung playground|-74.2063815 40.8283284
montclair mounties|-74.2075859 40.8231976
lackawanna plaza|-74.2134977 40.8125038
porter park|-74.2225264 40.8098765
brookdale park main meadow|-74.1890685 40.8319969
delta|-74.1912793 40.8684217
field|-74.1903004 40.867488
first lutheran church|-74.1738367 40.8720139
bizub quinlan funeral home|-74.1733364 40.8716011
clifton recycling center|-74.1618578 40.8672381
clifton city hall|-74.1604482 40.866439
clifton arts center|-74.1622786 40.8678819
clifton senior center|-74.1602624 40.8685747
clifton animal shelter|-74.160647 40.8682276
masar park playground|-74.3982823 40.9338774
grace lord park playground|-74.4194767 40.9072419
montville community park playground|-74.3612918 40.8983393
homewood suites by hilton|-74.0937158 40.8295564
bendix diner|-74.0640877 40.8649615
dunkin donuts|-74.0708177 40.8695642
visentis|-74.0763283 40.8720992
lodi post office|-74.0851575 40.8760942
burger king|-74.085951 40.8763809
burger king|-74.101998 40.8416433
felician university|-74.112029 40.8304939
nutley american little league|-74.1745439 40.8098636
columbia court|-74.1222515 40.8165352
municipal lot|-74.1610777 40.8155538
nutley tennis club|-74.1520149 40.8215234
clifton fire station|-74.1692157 40.8697677
the barrow house|-74.1725146 40.8718476
st johns evangelical lutheran church|-74.1704992 40.8680994
clarence w brett park|-74.0251 40.9133576
teaneck recycling center|-74.0257681 40.9116567
andreas park|-74.0241336 40.907317
dentists building|-74.2208719 40.8199719
hibachi grill supreme buffet|-74.2280466 40.9591954
childrens memorial park|-74.2323842 40.9636154
northpointe park|-74.0293658 40.8988692
fdu|-74.0321169 40.8937114
paterson armory|-74.1584915 40.913426
moreng telecom products llc|-74.2096401 40.9498613
wayne hills office center|-74.210412 40.950566
wayne medical center|-74.2629306 40.9711635
richardson oval park|-74.1513133 40.8629166
hird park|-74.1336338 40.8769257
randolph park|-74.1254348 40.8790019
clifton library   main branch|-74.1468507 40.8808029
burger king|-74.1547344 40.8781575
clifton jewish center|-74.1537317 40.8777192
dollar tree|-74.1564861 40.8779657
medical imaging center of north jersey inc|-74.1602051 40.877249
cvs pharmacy|-74.1443167 40.8287539
lowry park|-74.1363249 40.8328297
delawanna memorial park|-74.1378788 40.8347243
gregory manor park|-74.1440457 40.8365489
wells fargo|-74.1233654 40.9200064
mcellen park|-74.0668951 40.9141945
firemens memorial park|-74.0530662 40.9110909
institute for americas new and emerging workforce|-74.1714337 40.9184243
pccc maintenance receiving warehouse|-74.1691091 40.9165113
cepeda beer wine and liquors|-74.1661741 40.9149238
colons hardware|-74.165646 40.9145288
shell|-74.1549044 40.9117315
food mart|-74.1547924 40.9118183
c town|-74.1504305 40.907492
larry doby field|-74.1343467 40.9157436
second national bank building|-74.1714632 40.916809
dunkin donuts|-74.1734704 40.895079
powerhouse christian center|-74.1742218 40.8946326
valley family deli|-74.1739688 40.8942288
delta|-74.1679222 40.8822649
stelmach auto care|-74.1680968 40.8788672
clifton collision center|-74.1686486 40.8748989
john decando riverview dog park|-74.1662769 40.9246557
getty|-74.1778994 40.9119929
walgreens|-74.2087272 40.8826004
sensory garden|-74.2668262 40.9897642
promenade parking|-74.1557913 40.8392063
paterson fire department headquarters engine company|-74.1876069 40.9113966
checkers|-74.1666035 40.9153431
white castle|-74.1659382 40.9185537
american fried chicken  pizza|-74.1640731 40.9189074
family dollar|-74.1658826 40.9182547
iglesia de cristo misionera|-74.1620845 40.9192092
the home depot|-74.1421745 40.9335703
bp|-74.1631996 40.9189131
oasis   a haven for women and children|-74.1759971 40.9140041
alexander hamilton academy|-74.1667994 40.9162807
memorial day nursery|-74.1665918 40.9159019
wyckoff pto economy shop|-74.1714221 41.0134455
saint pauls lutheran church|-74.1709058 40.9156043
ed sanicki field|-74.1732323 40.8882328
brower field|-74.172799 40.8898335
acquackanonk gardens park|-74.1775996 40.8800301
field|-74.1608872 40.8750945
field|-74.160077 40.8752449
field|-74.1604818 40.8742003
athenia cafe|-74.1600891 40.8745808
clifton beautification committee garden|-74.1607359 40.8657803
eddie mayo field|-74.1657423 40.8605591
field|-74.1592209 40.8544521
field|-74.1597877 40.8553508
field|-74.160302 40.8549984
field|-74.1591883 40.8549276
boston market|-74.1842822 40.8702974
high mountain road elementary school|-74.2102013 40.9916054
pccc alumni quad|-74.1692361 40.9179576
don bosco technology academy|-74.1328968 40.919432
great falls academy|-74.177502 40.9346387
wells fargo|-74.1577205 40.9065678
sunoco|-74.1603872 40.8653102
citgo|-74.1611561 40.8651568
bonfire mofongo house|-74.1397875 40.9021279
passaic animal shelter|-74.1324983 40.8425807
boathouse cafe|-74.1371572 40.8496202
highbloom auto|-74.1458003 40.8091413
verona inn|-74.2474089 40.832727
garden state community bank|-74.247085 40.8326625
blink fitness|-74.1779458 40.8740874
unclaimed freight|-74.1795628 40.8720537
new jersey eyes|-74.1791508 40.8723495
fette ford kia|-74.1835956 40.8693789
breaker billiards|-74.1833508 40.8704552
the hearth|-74.1823331 40.8707482
public house|-74.1805507 40.8705179
usps northern new jersey metro processing and distribution center|-74.0636703 40.8582668
lot n|-74.0768069 40.8211266
lot p|-74.0773691 40.8244112
modernfold styles|-74.0463902 40.8315779
hilltop park|-74.1134417 40.8058199
lewandowski park|-74.1207357 40.8006547
toros|-74.1637413 40.892872
taskin bakery|-74.1639654 40.8934691
fire station|-74.1689724 40.8938331
walgreens|-74.1596092 40.8438572
massimo zanetti beverage usa|-74.0460547 40.8329434
paradiso deli  cafe|-74.0520395 40.8340839
clifton high school annex|-74.1566247 40.8543026
international delights|-74.1570297 40.8532378
basic adhesives|-74.1565666 40.8510636
perfect finishing|-74.1576468 40.8511109
buckley building|-74.1737793 40.9148607
van dyk furniture building|-74.173807 40.9149669
romaine building|-74.1725701 40.9171489
first national bank building|-74.1720784 40.9175477
first national bank of new jersey building|-74.1718139 40.9175397
amazon logistics dnj|-74.0590234 40.8329282
la havana|-74.0630738 40.8381118
southside firehouse engine company|-74.1631997 40.9014606
hillside elementary school|-74.2236299 40.8159305
adams building|-74.1745873 40.9156221
plaza apartments|-74.1703847 40.9139343
agape christian ministries|-74.1726847 40.9143861
silk city trust company building|-74.1728574 40.9162284
paterson savings institution building|-74.1734938 40.9164406
mainmark building|-74.1735162 40.9160604
walgreens|-74.1553558 40.9173228
autozone|-74.155054 40.9177838
old fabian theater|-74.1701838 40.9170109
blackburn building|-74.1697941 40.9163434
h munzer  sons building|-74.1699894 40.9163958
lambert building|-74.1706791 40.9180142
christian fellowship center  outreach ministries|-74.1608294 40.9180983
church of the messiah|-74.1596594 40.9181907
rosa parks apartments|-74.1572862 40.9182453
saint pauls episcopal church|-74.1561139 40.9180518
rodeway inn|-74.156999 40.9188998
love of jesus church of paterson|-74.1575538 40.9189144
hohokus school of trade and technical sciences|-74.1525769 40.9093077
delta|-74.1520833 40.9090354
swift lube|-74.1520129 40.9095623
hohokus school of trade and technical sciences building|-74.1512354 40.9089247
dunkin|-74.1507921 40.9081306
pan american park|-74.1504425 40.907873
passaic county community college|-74.1692949 40.9177693
lot|-74.1691253 40.9174011
valley chapel|-74.1774652 40.8885533
first presbyterian church|-74.1743282 40.8869201
characters restaurant|-74.1924167 41.157232
rhodes north tavern|-74.1931416 41.1537279
vfw post|-74.180292 40.8823019
bjs wholesale club|-74.0966872 40.8240728
staples|-74.0958918 40.8251283
federal reserve|-74.0953553 40.8287798
td bank|-74.0968945 40.8273415
new roberto clemente school|-74.157712 40.9120521
school|-74.157316 40.9048038
school|-74.1491399 40.9381584
vreeland and th triangle|-74.1398774 40.9061085
vreeland and th triangle|-74.1404844 40.9079661
early learning center|-74.1467599 40.9161813
east main and first triangle|-74.1683657 40.9282825
changebridge|-74.3615818 40.9159806
changebridge|-74.3594996 40.9158519
st pius x church|-74.3588125 40.9111742
saint josephs school|-74.1617911 40.9144
unppg|-74.0424446 41.1226675
manor park playground|-74.4234317 40.8835675
jeffery f md lakin   orthopedist|-74.1688419 40.8739026
walgreens|-74.1387926 40.875159
united states post office|-74.1384762 40.8746518
rite aid|-74.1343371 40.8756988
walgreens|-74.1219093 40.8732273
the home depot|-74.1203716 40.8715315
colonel johnson park|-74.1242293 40.8709855
mount ivy all american diner|-74.0397917 41.1855235
rockland county fire training center|-74.0362487 41.1732884
rockand county health department|-74.0380185 41.1591612
office for the aging building b|-74.0376307 41.1614667
dept of planning dept of transportation building t|-74.0404722 41.1610353
lime kiln elementary school|-74.0748017 41.1626631
kehillat bet yehuda|-74.0726064 41.1622637
greg sikorsky childrens park|-74.0769141 41.1618637
highlands presbyterian church|-74.1248313 41.0278088
archer united methodist church|-74.1257829 41.0307509
allendale police department|-74.1250531 41.0281256
gardian angel curch|-74.1245253 41.030585
allendale ambulance corp|-74.1250873 41.0284023
saddle river fire department|-74.0983121 41.0321797
saddle river police department|-74.0988155 41.0322817
fino ristorante|-74.1299939 41.0309608
allendale auto repair|-74.1304074 41.0314206
eastern christian middle school|-74.1886846 40.9936786
christian health care center|-74.1722917 40.9813713
christian health care center|-74.1748197 40.9826572
thomas jefferson elementary school|-74.1608914 40.9702256
the chelsea at bald eagle|-74.3594043 41.1189765
westbrook elementary school|-74.3787501 41.0807822
macopin fire station|-74.3842531 41.0839068
ringwood public library|-74.2673047 41.0878811
all purpose room|-74.110062 41.0157834
waldwick board of education|-74.1100832 41.016795
waldwick seventh day adventist church|-74.1257623 41.0083239
worth pinkham memorial library|-74.1121721 40.9990569
the mayer building|-74.1100353 40.996223
benjamin franklin middle school|-74.1000906 40.9865791
redstone lane park|-74.0744791 40.888358
george warchol community park|-74.082674 40.8855683
frank belli memorial park|-74.0833233 40.8851515
joseph p luna memorial park|-74.0819701 40.8858471
jet age park|-74.0838363 40.8844893
grover cleveland park playground|-74.2832164 40.834969
lyndhurst little league|-74.1318512 40.8183591
breslin stadium|-74.1333275 40.8173311
pavillion|-74.136181 40.8164924
fitness area|-74.1359909 40.8148619
pavillion|-74.1297483 40.8194035
lyndhurst community center|-74.1325305 40.8186249
riverside county park|-74.1344006 40.8164497
passaic river rowing association|-74.1383362 40.8046402
passaic river rowing association boathouse|-74.1386621 40.8050975
pavillion|-74.1367783 40.8022713
veterans park|-74.13348 40.961658
main street field|-74.1392461 40.9552633
upper faber field|-74.129676 40.9713107
lower faber field|-74.1298545 40.9696411
childrens park|-74.1302042 40.967881
demarest park|-74.1311335 40.9611224
super foodtown|-74.1914219 40.9723796
high mountain middle school|-74.1827229 40.9549393
eastern christian high school|-74.1794205 40.9453556
holland christian home|-74.1851293 40.9728044
ebenezer netherland reformed|-74.1996611 40.986854
clifton city hall park|-74.1614133 40.8681339
care inc|-74.1306921 41.1144063
fairfield free library|-74.300289 40.8877862
fairfield community pool|-74.3044185 40.8897183
adlai stevenson elementary school|-74.3163435 40.882292
wesmont station parking|-74.0955859 40.8557672
reformed church in kinnelon|-74.3820717 40.9906266
williams mason school|-74.3852377 40.926884
rockaway valley elementary school|-74.4307443 40.9242083
chilton medical center|-74.3099474 40.9583482
pequannock high school|-74.3060817 40.9599041
saint clares behavioral health|-74.4255689 40.9100583
st josephs wayne hospital|-74.2036344 40.9469981
new bridge medical center|-74.0630163 40.9556784
hackensack university medical center at pascack valley|-74.0149314 40.9850338
thomas jefferson middle school|-74.0082794 40.8801427
armory park|-74.1228537 40.8562102
st marys general hospital|-74.1379772 40.859294
mountainside hospital|-74.2042502 40.8113256
charles h bullock school|-74.2135216 40.8084134
veterans of foreign wars memorial post no|-74.074342 40.8532266
zelenka park|-74.1258321 40.8349531
brix city brewing|-74.0431215 40.8564432
palermos cafe and bakery|-74.0424143 40.8564115
the alementary brewing company|-74.0400401 40.9046065
hackensack glass company|-74.0402262 40.9046925
tri tech construction group|-74.0397457 40.9044881
essex county environmental center|-74.3317808 40.8254812
jay street park|-74.0440967 41.1039519
memorial park|-74.0422719 41.1151955
lot|-74.2010675 40.8579226
sunrise senior living|-74.2421113 40.9663257
edenville park|-74.4125585 41.277021
viola town park|-74.0758613 41.1301783
veterans park|-74.0411001 41.0031419
angelica and russ berrie center for the performing arts|-74.1757589 41.0801504
laurel hall|-74.1736336 41.0792414
pine hall|-74.1734297 41.07839
linden hall|-74.1727251 41.0789234
facilities complex|-74.1717233 41.0801825
adler center for nursing excellence|-74.175013 41.0822676
franklin lakes fd southside|-74.2159848 40.9933237
wyckoff reformed church|-74.17349 41.0068217
colonial road elementary school|-74.2230514 41.0136745
lukoil|-74.2082831 40.8427318
mc thai by tuptim|-74.220468 40.8158212
slab supply co|-74.2196497 40.8151752
